Song,Chart_Popularity,Spotify_Streams,Frequency_of_Love,Lead_Singer,Theme
I Saw Her Standing There,3,127.8,3,3,1
Misery,5,12.4,0,1,3
Ask Me Why,5,10.4,6,2,1
Please Please Me,2,47.3,2,1,6
Love Me Do,1,165.7,25,1,1
P.S. I Love You,3,13.2,17,3,1
Do You Want To Know A Secret,2,46.1,4,4,1
There's A Place,4,9,1,1,1
It Won't Be Long,5,26.9,0,2,3
All I've Got To Do,5,26.9,0,2,1
All My Loving,4,101.9,10,3,1
Don't Bother Me,5,21.6,0,4,3
Little Child,5,5.1,0,2,6
Hold Me Tight,5,8.6,4,3,1
I Wanna Be Your Man,5,8.9,12,5,1
Not A Second Time,5,7.1,0,2,3
A Hard Day's Night,1,159.2,0,1,1
I Should Have Known Better,4,42.7,11,2,1
If I Fell,4,53.2,12,1,1
I'm Happy Just To Dance With You,4,28.5,4,4,1
And I Love Her,3,102.6,10,3,1
Tell Me Why,5,9.7,1,2,3
Can't Buy Me Love,1,119.9,15,3,1
Any Time At All,5,9.1,0,2,1
I'll Cry Instead,4,6.6,2,2,2
Things We Said Today,5,31,12,3,1
When I Get Home,5,5.7,1,2,6
You Can't Do That,4,12.3,2,2,5
I'll Be Back,5,11.8,1,2,3
No Reply,5,29.7,1,2,3
I'm A Loser,5,9.3,2,2,2
Baby's In Black,5,9.8,0,1,3
I'll Follow The Sun,5,36.2,2,3,6
Eight Days A Week,1,107.5,22,1,1
Every Little Thing,5,6.2,4,2,1
I Don't Want To Spoil The Party,4,5.2,4,2,2
What You're Doing,5,5.5,2,3,3
Help!,1,231.8,0,2,2
The Night Before,5,29.7,2,3,3
You've Got To Hide Your Love Away,5,71.6,5,2,3
I Need You,5,17.4,3,4,1
Another Girl,5,10.3,2,3,6
You're Going To Lose That Girl,5,33.3,0,2,6
Ticket To Ride,1,117.3,0,2,3
It's Only Love,5,14.9,8,2,1
You Like Me Too Much,5,8.3,0,4,1
Tell Me What You See,5,7.7,0,3,1
I've Just Seen A Face,5,50,0,3,1
Yesterday,1,411.3,2,3,3
From Me To You,4,46.8,5,1,1
Thank You Girl,4,2.6,5,1,1
She Loves You,1,127.1,18,1,1
I'll Get You,6,3.5,4,1,6
I Want To Hold Your Hand,1,307.4,2,1,1
This Boy,6,13.6,2,2,5
I Feel Fine,1,76.7,6,2,1
She's A Woman,2,10.1,9,3,1
Yes It Is,4,6.2,0,2,3
I'm Down,6,4,0,3,2
